"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7286","Supplier With Excel data Fir Supplier","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","16","Customer Using Json Rajesh Nakka","chromium","2026-09-19","failed","2026-09-19","ERP Managent Modules","UsingJsonData.spec.ts","",""
"","5959","Customer data using Excel Palanadu2","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","6744","Supplier With json file Rajesh N","chromium","2026-09-19","passed","2026-09-19","ERP Managent Modules","UsingJsonData.spec.ts","",""
"","6652","Supplier With Excel data Thrd Supllier","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","6356","Customer Using Json Rajesh","chromium","2026-09-19","passed","2026-09-19","ERP Managent Modules","UsingJsonData.spec.ts","",""
"","6451","Customer data using Excel Palanadu1","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","4744","Supplier With json file Rajesh","chromium","2026-09-19","failed","2026-09-19","ERP Managent Modules","UsingJsonData.spec.ts","",""
"","5944","Customer Module","chromium","2026-09-19","passed","2026-09-19","ERP Inventroy Management","ERPSingleData.spec.ts","",""
"","6535","Supplier With Excel data Sec Supllier","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","6510","Supplier With Excel data Fif Supllier","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","5928","Customer data using Excel Palanadu3","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","6758","Supplier With Excel data For Supllier","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","6347","Customer data using Excel Palanadu4","chromium","2026-09-19","passed","2026-09-19","ERp Management Module","usingExcleData.spec.ts","",""
"","6316","Supplier With Single data","chromium","2026-09-19","passed","2026-09-19","ERP Inventroy Management","ERPSingleData.spec.ts","",""
